ym,gross,net,cost,turnover,n_holdings,ew_topn,univ_ew,n_candidates,pred_vol_ann
2020-04,0.0033686805222909685,0.00036868110907922226,0.0029999994132117462,0.9999998044039154,24,0.06939393461012133,0.07935975167278836,1917,0.10272725638065486
2020-05,0.009318601145530802,0.009025520983775093,0.0002930801617557089,0.09769338725190296,26,-0.025148732998303974,-0.0019103917959532113,1932,0.10105937979924322
2020-06,0.03215168177541491,0.031534473337916986,0.0006172084374979237,0.20573614583264124,26,0.09092422540419345,0.09719361764240012,1935,0.1084261453050122
2020-07,0.014246374368370441,0.013641190371231722,0.0006051839971387198,0.20172799904623992,26,0.02290033154287653,0.0370247734762826,1956,0.11007315286706958
2020-08,0.03973433175005652,0.039539404289976536,0.0001949274600799851,0.0649758200266617,24,0.04641922975939497,0.03537353519496013,1963,0.11144928555299384
2020-09,0.03752778380409435,0.03620933247149703,0.0013184513325973167,0.4394837775324389,25,-0.022367039821183935,-0.022776692670125536,1968,0.10590842383515714
2020-10,0.11491214749197046,0.11431316154652685,0.0005989859454436141,0.19966198181453804,28,0.12391624829753388,0.12184212916480763,1969,0.11747750043642174
2020-11,0.062304883397656406,0.06110963442582195,0.0011952489718344585,0.3984163239448195,31,0.07435459303537209,0.06536264870786837,1972,0.11076958614511094
2020-12,-0.036075271353292006,-0.036362474786761606,0.00028720343346959917,0.09573447782319973,27,0.014348079290367617,0.01391518274028646,1979,0.11400348333362643
2021-01,0.08854744843343734,0.0884916998766774,5.574855675993392e-05,0.018582852253311306,28,0.04222640108445585,0.0265854508563442,1982,0.11366378315148577
2021-02,0.1267907431369812,0.12578873202598384,0.0010020111109973423,0.33400370366578075,29,0.08517640198782588,0.07690938321702234,1985,0.0990123297647447
2021-03,0.13223696559742115,0.13065263173446562,0.0015843338629555424,0.5281112876518474,33,0.11770351213783915,0.0712598614761339,1994,0.11953309520432169
2021-04,0.13317869009471764,0.13207158096561264,0.0011071091291050112,0.3690363763683371,30,0.07699057528348574,0.03464591017782841,1986,0.11849709221729543
2021-05,0.003747150382245858,0.002248443807021182,0.0014987065752246763,0.4995688584082254,28,0.06103677910275636,0.05683158324851985,1991,0.12544029634795867
2021-06,-0.002065833112088656,-0.0027297457366397128,0.0006639126245510567,0.22130420818368557,28,-0.018298450529106617,-0.016800961278220464,2008,0.13209127981895463
2021-07,-0.01583797111513866,-0.01639945000280553,0.0005614788876668706,0.18715962922229018,29,-0.0261353486301769,-0.028345295123572107,2022,0.12105024428717519
2021-08,-0.0103204936860752,-0.0107256308707147,0.0004051371846394993,0.13504572821316643,30,-0.0024598266494267216,-0.023154270467728576,2034,0.12411691236456147
2021-09,0.0318452669375894,0.031246976098801695,0.0005982908387877023,0.19943027959590076,28,0.004386407550449313,-0.00823965806171212,2042,0.1208732541886762
2021-10,-0.06445581967039549,-0.0648193473796056,0.00036352770921011077,0.12117590307003692,29,-0.09059977675546499,-0.09725206638394698,2044,0.12450966247859672
2021-11,0.05002942341261337,0.048869415868916015,0.0011600075436973565,0.38666918123245214,35,0.11819705905967565,0.11927756992367759,2038,0.12290345074246742
2021-12,-0.02399317246007059,-0.024267824818342207,0.00027465235827161703,0.09155078609053902,35,-0.06537396129241088,-0.09896184916300642,2042,0.12028344708074754
2022-01,0.015710750595707555,0.014975892845287022,0.0007348577504205335,0.24495258347351118,34,0.03990959548859868,0.031230351082680498,2044,0.11999614934824039
2022-02,0.11746377976262289,0.11655851994416488,0.0009052598184580014,0.3017532728193338,34,0.05813264513072687,0.0772536112441846,2049,0.1176979320811136
2022-03,0.012483362471485031,0.011534354207930326,0.0009490082635547046,0.3163360878515682,34,0.02817681597590501,-0.003638836094925688,2057,0.10418063017196916
2022-04,-0.007539210682821637,-0.00789405788327745,0.00035484720045581307,0.1182824001519377,35,-0.02043451138438073,-0.024312974228867704,2055,0.09214174732943428
2022-05,-0.06426326709861506,-0.06566132045313638,0.001398053354521323,0.466017784840441,31,-0.12558638419493526,-0.16181682147927104,2068,0.09971550783354846
2022-06,0.004867150654743172,0.0046433867679441885,0.00022376388679898313,0.0745879622663277,32,0.033992407041049895,0.0684360167032077,2070,0.1031964643174805
2022-07,0.008192282756963707,0.008141148555346043,5.113420161766548e-05,0.01704473387255516,34,0.023768618297566615,0.008442080806515045,2087,0.10435568371437827
2022-08,-0.04338216013325353,-0.043754445176973494,0.0003722850437199633,0.12409501457332109,32,-0.09883429530055157,-0.15602151809097348,2095,0.09995624064283455
2022-09,-0.003296326004460712,-0.00380148227236282,0.0005051562679021078,0.16838542263403594,32,0.019150148959721044,0.02359815204681448,2113,0.1005579262034012
2022-10,0.05412217774342512,0.0537462823788704,0.00037589536455472295,0.12529845485157431,30,0.06307326294014412,0.0823524240969325,2134,0.09456812232603881
2022-11,0.011455187840707811,0.01079946802485966,0.0006557198158481501,0.21857327194938336,30,-0.01703811354705417,-0.05098623784500672,2136,0.0903588533823977
2022-12,0.014091118519353097,0.013891050858111096,0.00020006766124200045,0.06668922041400015,29,0.04698830587443377,0.09200573389296576,2143,0.0933752384940906
2023-01,-0.00097728619694924,-0.0012859725541819803,0.00030868635723274026,0.10289545241091341,27,0.007102367242144563,0.014491576425568023,2150,0.09607936690310363
